"buyer","buyer_uri","supplier","supplier_uri","currency","total_charged","total_paid","vat","date","description","unspsc_code","ec_category","transaction_reference"
"Paul Robinson",,"Waverley District Council","http://opendatacommunities.org/doc/district-council/waverley","GBP",,500,0,,"Election deposit",,,
"Paul Robinson",,"Enterprise Rent a Car","https://opencorporates.com/companies/gb/02946689","GBP",,36.24,,"2015-04-16","Van hire",78111808,"B",
"Paul Robinson",,"Foundry Press Limited","https://opencorporates.com/companies/gb/02846162","GBP",,975,0,"2015-04-23","Leaflet printing","82121506","B","42981"
"Paul Robinson",,"Staples UK Limited","https://opencorporates.com/companies/gb/02759437","GBP",,16.49,2.75,2015-04-23,"Labels for leaflet boxes",55121606,"B",
"Paul Robinson",,"Enterprise Rent a Car","https://opencorporates.com/companies/gb/02946689","GBP",,15,8.54,2015-04-23,"Insurance excess for van hire",84131503,"B",
"Paul Robinson",,"KEO PF.it Limited","https://opencorporates.com/companies/gb/07831511","GBP",,45,7.5,"2015-04-26","Crowdfunder fees",93151510,,
