"buyer","buyer_uri","supplier","supplier_uri","currency","total_charged","amount","vat","balance","date","description","unspsc_code","ec_category","transaction_reference","ec_accounting_category"
"Philip John",,"Facebook Ireland, Ltd.","https://opencorporates.com/companies/ie/462932","GBP",-20.05,-20.05,0,-20.05,"2017-04-27","Facebook advertising",82101603,"A","1285957178185316-2505587","campaigning costs"
"Philip John",,"Facebook Ireland, Ltd.","https://opencorporates.com/companies/ie/462932","GBP",-22.59,-22.59,0,-42.64,"2017-04-30","Facebook advertising",82101603,"A","1284139485033753-2514533","campaigning costs"
"Philip John",,"Twitter International Company","https://opencorporates.com/companies/ie/503351","GBP",-30,-30,5,-72.64,"2017-05-02","Twitter advertising",82101603,"A",800000002354930,"campaigning costs"
"Philip John",,"Twitter International Company","https://opencorporates.com/companies/ie/503351","GBP",-24,-24,4,-96.64,"2017-05-09","Twitter advertising",82101603,"A",800000002372615,"campaigning costs"
"Philip John",,"MOO Print Limited","https://opencorporates.com/companies/gb/05121723","GBP",-40.19,-40.19,6.7,-136.83,"2017-04-17","Business cards",14111604,,252529073,"campaigning costs"
"Philip John",,"Shirtinator AG",,"GBP",-50.94,-50.94,8.49,-187.77,"2017-04-17","Promotional clothing",53100000,,"17/04/17-UK0002","campaigning costs"
,,"Something New","https://somethingnew.org.uk","GBP",187.77,187.77,0,0,2017-04-25,"Donation",,,,"donation"
